1;Ingeniería de sistemas;1
2;Ingeniería Electrónica;1
3;Tecnología Electrónica;1
4;Ingeniería Mecánica;1
5;Ingenieía Civil;1
6;Ingeniería Industrial;1
7;Economía;2
8;Mercadeo;2
9;Tecnología en Mercadeo y ventas;2
10;Administración de Negocios Internacionales;2
11;Contaduría Pública;2
12;Tecnología en Contabilidad y Costos;2
13;Administración Financiera;2
14;Derecho;3
15;Tec.Inv.Criminal y Judicial;3
16;Psicología;2
17;Filosofia;2
18;Comunicación Social y Periodismo;2
19;Arquitectura;5
